data,documento,historico,tipo,valor
2026-07-02,NF 2095,Compra de farinha e fermento - Moinho Sul,despesa,5480.00
2026-07-04,REC 0918,Vendas do balcao - semana 1,receita,19120.40
2026-07-07,DOC 4560,Pagamento energia eletrica - CEEE,despesa,1955.70
2026-07-10,NF 2103,Compra de laticinios - Distribuidora Lactea,despesa,6180.00
2026-07-10,NF 2103,Compra de laticinios - Distribuidora Lactea,despesa,6180.00
2026-07-11,REC 0919,Vendas do balcao - semana 2,receita,18240.00
2026-07-15,DOC 4571,Salarios - folha julho,despesa,9600.00
2026-07-18,REC 0920,Vendas do balcao - semana 3,receita,20315.60
2026-07-22,DOC 4599,Retirada do socio,despesa,3500.00
2026-07-25,REC 0921,Vendas do balcao - semana 4,receita,21008.25
2026-07-28,DOC 4610,Aluguel do ponto,despesa,4500.00
2026-07-30,NF 2118,Manutencao do forno - Tecnoforno ME,despesa,1240.00
