data,documento,historico,tipo,valor
2026-06-03,NF 2041,Compra de farinha e fermento - Moinho Sul,despesa,5275.00
2026-06-05,REC 0912,Vendas do balcao - semana 1,receita,18430.55
2026-06-08,DOC 4471,Pagamento energia eletrica - CEEE,despesa,1842.30
2026-06-12,REC 0913,Vendas do balcao - semana 2,receita,17985.00
2026-06-15,DOC 4488,Salarios - folha junho,despesa,9600.00
2026-06-17,NF 2088,Compra de laticinios - Distribuidora Lactea,despesa,4767.00
2026-06-17,NF 2088,Compra de laticinios - Distribuidora Lactea,despesa,4767.00
2026-06-19,REC 0914,Vendas do balcao - semana 3,receita,21044.80
2026-06-22,DOC 4501,Retirada do socio,despesa,3000.00
2026-06-26,REC 0915,Vendas do balcao - semana 4,receita,19870.15
2026-06-28,DOC 4510,Aluguel do ponto,despesa,4500.00
2026-06-30,DOC 4515,Compra de material de escritorio,despesa,-215.90
